web_scraper_order,web_scraper_start_url,container_moutons,Nom,Prix,Adresse,Image_lien,price_cfa,city,title_len
1771110303-34,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4220644,Mouton,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,,Dakar,6
1771110306-35,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4223482,Mouton,160 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,160000.0,Dakar,6
1771110311-36,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4223484,Mouton,160 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,160000.0,Dakar,6
1771110314-37,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4223486,Mouton,160 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,160000.0,Dakar,6
1771110317-38,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4223524,Mouton,97 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,97000.0,Dakar,6
1771110320-39,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4223526,Mouton,160 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,160000.0,Dakar,6
1771110326-40,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4226905,Mouton,260 000 CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4258464_uploaded_image1_1686868865.jpg,260000.0,Diamniadio,6
1771110330-41,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4227161,Mouton,320 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg,320000.0,Guediawaye,6
1771110333-42,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4228460,Mouton,8 000 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg,8000000.0,Louga,6
1771110336-43,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4228472,Mouton,800 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_4264167_uploaded_image1_1687307074.jpg,800000.0,Louga,6
1771110341-44,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4229136,Mouton,170 000 CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4787368_uploaded_image1_1717940799.jpg,170000.0,Ouest Foire,6
1771110345-45,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4231235,Moutons,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337516_uploaded_image1_1747772137.jpg,,Parcelle Assainies,7
1771110348-46,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4231286,Mouton,380 000 CFA,"Fatick, Sénégal",https://images.coinafrique.com/thumb_4236443_uploaded_image1_1685486347.jpg,380000.0,Fatick,6
1771110382-47,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4237665,Mouton,450 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5521645_uploaded_image1_1757668518.jpg,450000.0,Rufisque,6
1771110385-48,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4242404,Mouton,250 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg,250.0,Guediawaye,6
1771110388-49,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/moutons-4242585,Moutons,350 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg,350000.0,Guediawaye,7
1771110394-50,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4247740,Mouton,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,,Dakar,6
1771110398-51,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4247742,Mouton,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,,Dakar,6
1771110402-52,https://sn.coinafrique.com/categorie/moutons?page=3,https://sn.coinafrique.com/annonce/moutons/mouton-4247744,Mouton,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg,,Dakar,6
